Environment,Episodes of training,Algorithm Name,Training time,Mean Score,Standard Deviation,Score adjusted,training time * wattage,kilowatt hours
Pendulum,50000.0,PPO,32.591,-1096.0477,130.55757,,61099.75114993751,0.016972153097204862
Pendulum,50000.0,TD3,347.079,-128.59055,103.51844,,547900.8865107321,0.15219469069742558
Pendulum,50000.0,DDPG,335.406,-142.25974,43.80775,,531085.382163,0.1475237172675
Pendulum,50000.0,A2C,42.703,-1092.6876,103.3287,,73037.26939969446,0.020288130388804015
Pendulum,50000.0,SAC,685.293,-167.93883,58.443146,,1096495.269442125,0.30458201928947914
Pendulum,50000.0,DQN,,,,,,
Pendulum,100000.0,PPO,67.979,-1283.3396,244.36072,,127443.15864568751,0.035400877401579864
Pendulum,100000.0,TD3,592.579,-123.48073,73.771164,,935448.5849839463,0.2598468291622073
Pendulum,100000.0,DDPG,581.286,-1564.0007,94.51858,,920414.3559029999,0.2556706544175
Pendulum,100000.0,A2C,79.654,-1588.2639,17.817741,,136236.57955561113,0.03784349432100309
Pendulum,100000.0,SAC,995.789,-143.32939,107.34068,,1593300.8623501249,0.4425835728750347
Pendulum,100000.0,DQN,,,,,,
Pendulum,500000.0,PPO,366.143,-99.7776,91.72012,,686424.0491329376,0.19067334698137153
Pendulum,500000.0,TD3,3336.232,-141.86746,41.581184,,5266594.839807285,1.4629430110575792
Pendulum,500000.0,DDPG,3227.972,-75.71929,59.664078,,5111204.758506,1.419779099585
Pendulum,500000.0,A2C,392.749,-974.1502,512.5116,,671740.0304301946,0.18659445289727628
Pendulum,500000.0,SAC,5046.366,-186.14832,54.50403,,8074380.515886749,2.242883476635208
Pendulum,500000.0,DQN,,,,,,
Pendulum,1000000.0,PPO,614.946,-175.3466,59.542854,,1152865.747312125,0.3202404853644792
Pendulum,1000000.0,TD3,6699.73,-225.17427,61.91803,,10576231.94253339,2.9378422062592753
Pendulum,1000000.0,DDPG,6437.352,-124.81355,75.283806,,10192970.748995999,2.83138076361
Pendulum,1000000.0,A2C,802.716,-1399.9338,113.25851,,1372928.9451196669,0.3813691514221297
Pendulum,1000000.0,SAC,10172.514,-166.2122,58.18819,,16276415.313353248,4.521226475931457
Pendulum,1000000.0,DQN,,,,,,
,,,,,,,,
Bipedal Hardcore,10000.0,PPO,9.22,-104.67305,4.491482,,17285.131036250004,0.004801425287847223
Bipedal Hardcore,10000.0,TD3,63.395,-115.39807,0.92441785,,100075.70812508928,0.0277988078125248
Bipedal Hardcore,10000.0,DDPG,68.715,-140.74678,1.4989604,,108804.0525075,0.03022334791875
Bipedal Hardcore,10000.0,A2C,10.367,-103.148254,6.756039,,17731.245389472228,0.0049253459415200635
Bipedal Hardcore,10000.0,SAC,100.931,-99.28334,2.7196417,,161493.49845987497,0.04485930512774305
Bipedal Hardcore,10000.0,DQN,,,,,,
Bipedal Hardcore,20000.0,PPO,18.36,-118.365906,5.597472,,34420.282627500004,0.00956118961875
Bipedal Hardcore,20000.0,TD3,133.158,-181.72556,0.17128104,,210203.97732503567,0.058389993701398794
Bipedal Hardcore,20000.0,DDPG,120.588,-168.34404,44.83636,,190940.305374,0.053038973715
Bipedal Hardcore,20000.0,A2C,20.34,-107.75484,13.740048,,34788.61109500001,0.009663503081944446
Bipedal Hardcore,20000.0,SAC,205.325,-88.35408,13.789682,,328527.93067812495,0.09125775852170137
Bipedal Hardcore,20000.0,DQN,,,,,,
Bipedal Hardcore,50000.0,PPO,44.772,-89.725235,8.069056,,83935.99639425,0.023315554553958333
Bipedal Hardcore,50000.0,TD3,353.662,-115.5546,10.398283,,558292.8478103214,0.15508134661397815
Bipedal Hardcore,50000.0,DDPG,336.422,-134.34836,16.850655,,532694.127231,0.1479705908975
Bipedal Hardcore,50000.0,A2C,50.929,-108.81057,13.448516,,87106.64574519446,0.02419629048477624
Bipedal Hardcore,50000.0,SAC,571.452,-71.863686,1.4306403,,914345.2723335,0.25398479787041667
Bipedal Hardcore,50000.0,DQN,,,,,,
Bipedal Hardcore,100000.0,PPO,95.736,-104.01976,13.515086,,179480.40183150003,0.049855667175416674
Bipedal Hardcore,100000.0,TD3,672.533,-122.632614,7.995002,,1061664.4248361962,0.29490678467672116
Bipedal Hardcore,100000.0,DDPG,632.583,-107.30672,1.9462306,,1001638.5643214999,0.27823293453375
Bipedal Hardcore,100000.0,A2C,101.45,-104.606155,1.899964,,173515.4668430556,0.04819874078973766
Bipedal Hardcore,100000.0,SAC,1182.321,-97.31757,6.981339,,1891759.2671486246,0.5254886853190625
Bipedal Hardcore,100000.0,DQN,,,,,,
Bipedal Hardcore,500000.0,PPO,418.3,-79.70442,28.931032,,784205.0230437501,0.21783472862326392
Bipedal Hardcore,500000.0,TD3,3453.223,-58.86867,2.9186945,,5451277.49883816,1.5142437496772667
Bipedal Hardcore,500000.0,DDPG,3346.663,-175.23311,33.605976,,5299141.3341614995,1.4719837039337498
Bipedal Hardcore,500000.0,A2C,509.817,-153.19597,4.8266616,,871967.8142880835,0.24221328174668985
Bipedal Hardcore,500000.0,SAC,5146.764,-55.756226,25.953602,,8235021.1937595,2.2875058871554166
Bipedal Hardcore,500000.0,DQN,,,,,,
Bipedal Hardcore,1000000.0,PPO,949.788,-47.339794,45.347595,,1780608.46384575,0.494613462179375
Bipedal Hardcore,1000000.0,TD3,7904.055,-122.74721,23.953484,,12477386.247884732,3.4659406244124256
Bipedal Hardcore,1000000.0,DDPG,6696.52,-102.45048,36.718746,,10603340.081460001,2.94537224485
Bipedal Hardcore,1000000.0,A2C,1424.354,-106.96324,1.7326553,,2436150.3130583894,0.676708420293997
Bipedal Hardcore,1000000.0,SAC,10328.346,-72.845474,20.897669,,16525752.53236425,4.590486814545625
Bipedal Hardcore,1000000.0,DQN,,,,,,
,,,,,,,,
,,,,,,,,
Inverted Double Pendulum,10000.0,PPO,7.24,82.12364,27.777348,,13573.139772500002,0.003770316603472223
Inverted Double Pendulum,20000.0,PPO,15.95,124.403595,50.661114,,29902.151846875,0.008306153290798611
Inverted Double Pendulum,50000.0,PPO,38.526,310.38696,141.90466,,72226.35122587501,0.020062875340520838
Inverted Double Pendulum,100000.0,PPO,73.142,1174.5802,766.4687,,137122.457077375,0.038089571410381946
Inverted Double Pendulum,500000.0,PPO,373.521,365.272946800948,196.053856596868,,700255.9034480626,0.19451552873557296
Inverted Double Pendulum,1000000.0,PPO,759.967,1289.0878,1361.472,,1424742.8609789377,0.3957619058274827
Inverted Double Pendulum,10000000.0,PPO,7754.054,5682.024,4504.1323,,14536858.942750376,4.038016372986215
