Learning Rate,N_steps,Batch Size,Gamma,gae_lambda,Clip Range,ent_coef,epsilon,Mean Score,training_time,standard deviation
0.99,512,64,0.95,0.95,0.5,0.1,1E-05,9.1,6.44788455963135,0.53851648071345
0.99,512,64,0.95,0.95,0.5,0.1,1E-06,9.2,6.37839961051941,0.748331477354788
0.99,512,64,0.95,0.95,0.5,0.1,1E-07,9.2,6.33502388000488,0.6
0.99,512,64,0.95,0.95,0.5,0.01,1E-05,9.4,6.250896692276,0.66332495807108
0.99,512,64,0.95,0.95,0.5,0.01,1E-06,9.2,6.38698720932007,0.748331477354788
0.99,512,64,0.95,0.95,0.5,0.01,1E-07,9.6,6.34921407699585,0.66332495807108
0.99,512,64,0.95,0.95,0.5,0.001,1E-05,15.3,6.29038023948669,2.93428015022424
0.99,512,64,0.95,0.95,0.5,0.001,1E-06,13.9,6.19336724281311,1.92093727122986
0.99,512,64,0.95,0.95,0.5,0.001,1E-07,9.9,6.46608901023865,0.7
0.99,512,64,0.95,0.9,0.1,0,1E-05,9.5,6.41196584701538,0.806225774829855
0.99,512,64,0.95,0.9,0.1,0,1E-06,9.1,6.54233956336975,0.830662386291808
0.99,512,64,0.95,0.9,0.1,0,1E-07,9.4,6.6347963809967,0.66332495807108
0.99,512,64,0.95,0.9,0.1,0.1,1E-05,9.8,6.34803938865662,0.6
0.99,512,64,0.95,0.9,0.1,0.1,1E-06,9.4,6.12173438072205,0.66332495807108
0.99,512,64,0.95,0.9,0.1,0.1,1E-07,9.5,6.30202794075012,0.670820393249937
0.99,512,64,0.95,0.9,0.1,0.01,1E-05,9.4,6.47379040718079,0.916515138991168
0.99,512,64,0.95,0.9,0.1,0.01,1E-06,9.2,6.6065948009491,0.6
0.99,512,64,0.95,0.9,0.1,0.01,1E-07,9.4,6.37049603462219,0.66332495807108
0.99,512,64,0.95,0.9,0.1,0.001,1E-05,9.1,6.33520650863647,0.53851648071345
0.99,512,64,0.95,0.9,0.1,0.001,1E-06,51.4,6.38262796401978,11.438531374263
0.99,512,64,0.95,0.9,0.1,0.001,1E-07,9.4,6.41565608978272,0.489897948556636
0.99,512,64,0.95,0.9,0.2,0,1E-05,9,6.20009350776672,1
0.99,512,64,0.95,0.9,0.2,0,1E-06,9.5,6.33970403671265,0.670820393249937
0.99,512,64,0.95,0.9,0.2,0,1E-07,115.5,6.25088262557983,60.3195656483035
0.99,512,64,0.95,0.9,0.2,0.1,1E-05,9.2,6.18115901947022,0.748331477354788
0.99,512,64,0.95,0.9,0.2,0.1,1E-06,9.8,6.30215787887573,0.4
0.99,512,64,0.95,0.9,0.2,0.1,1E-07,9.4,6.47444677352905,0.8
0.99,512,64,0.95,0.9,0.2,0.01,1E-05,9.2,6.2145426273346,0.748331477354788
0.99,512,64,0.95,0.9,0.2,0.01,1E-06,9.6,6.49292945861816,0.66332495807108
0.99,512,64,0.95,0.9,0.2,0.01,1E-07,9.4,6.31148362159729,0.66332495807108
0.99,512,64,0.95,0.9,0.2,0.001,1E-05,9.2,6.07918119430542,0.871779788708135
0.99,512,64,0.95,0.9,0.2,0.001,1E-06,9,6.27745246887207,0.774596669241483
0.99,512,64,0.95,0.9,0.2,0.001,1E-07,9.1,6.24449944496155,0.7
0.99,512,64,0.95,0.9,0.3,0,1E-05,25.1,6.07979917526245,4.52658811910251
0.99,512,64,0.95,0.9,0.3,0,1E-06,8.9,6.60319232940674,0.830662386291808
0.99,512,64,0.95,0.9,0.3,0,1E-07,9.5,6.75887322425842,0.5
0.99,512,64,0.95,0.9,0.3,0.1,1E-05,9.6,6.32565188407898,0.8
0.99,512,64,0.95,0.9,0.3,0.1,1E-06,9.5,6.54565954208374,0.5
0.99,512,64,0.95,0.9,0.3,0.1,1E-07,9.3,6.23900580406189,0.781024967590665
0.99,512,64,0.95,0.9,0.3,0.01,1E-05,9.2,6.53604483604431,0.979795897113271
0.99,512,64,0.95,0.9,0.3,0.01,1E-06,9.3,6.14394521713257,0.458257569495584
0.99,512,64,0.95,0.9,0.3,0.01,1E-07,9.7,6.29666996002197,0.640312423743285
0.99,512,64,0.95,0.9,0.3,0.001,1E-05,9.3,6.45136141777039,0.781024967590666
0.99,512,64,0.95,0.9,0.3,0.001,1E-06,9.6,6.49943542480469,0.66332495807108
0.99,512,64,0.95,0.9,0.3,0.001,1E-07,9.3,6.30699849128723,0.458257569495584
0.99,512,64,0.95,0.9,0.4,0,1E-05,9.2,6.37461972236633,0.979795897113271
0.99,512,64,0.95,0.9,0.4,0,1E-06,9.4,6.02328300476074,0.66332495807108
0.99,512,64,0.95,0.9,0.4,0,1E-07,9.4,6.43493509292603,0.8
0.99,512,64,0.95,0.9,0.4,0.1,1E-05,9.4,6.70961570739746,0.489897948556636
0.99,512,64,0.95,0.9,0.4,0.1,1E-06,9,6.47241234779358,0.447213595499958
0.99,512,64,0.95,0.9,0.4,0.1,1E-07,9.5,6.23486304283142,0.670820393249937
0.99,512,64,0.95,0.9,0.4,0.01,1E-05,9.4,6.39952874183655,0.66332495807108
0.99,512,64,0.95,0.9,0.4,0.01,1E-06,9.4,6.16669321060181,0.66332495807108
0.99,512,64,0.95,0.9,0.4,0.01,1E-07,15.5,6.58206462860107,1.96214168703486
0.99,512,64,0.95,0.9,0.4,0.001,1E-05,9.5,6.43300032615662,0.806225774829855
0.99,512,64,0.95,0.9,0.4,0.001,1E-06,9.7,6.31689286231995,0.640312423743285
0.99,512,64,0.95,0.9,0.4,0.001,1E-07,9.2,6.36201429367065,0.748331477354788
0.99,512,64,0.95,0.9,0.5,0,1E-05,9.7,6.21074867248535,0.640312423743285
